"date","row_type","item","metric","current_state","month_3_projection","month_6_projection","monthly_cost_usd_low","monthly_cost_usd_base","monthly_cost_usd_high","monthly_revenue_usd_low","monthly_revenue_usd_base","monthly_revenue_usd_high","viability_signal","recommendation","source","notes"
"2026-03-25","market","Category demand","Affiliate link monitoring demand","Demand exists and is validated by multiple live products focused on broken links, redirect drift, and lost attribution.","Demand should remain healthy as affiliates keep moving to multi-network setups and want automation.","Demand should still be healthy, with more products adding API and webhook language.","","","","","","","positive","Keep pursuing the category.","https://linkwatchdog.io/ | https://affilguard.io/ | https://afterlink.io/","Inference from current live competitors and positioning."
"2026-03-25","market","Whitespace","API-first affiliate link health","Few public competitors lead with affiliate link health as infrastructure. Most still sell dashboards plus alerts.","More competitors are likely to add API or webhook features.","By 6 months, API and webhooks will be table stakes for higher-end plans, but full site crawl plus attribution API should still be differentiated.","","","","","","","positive","Lean harder into API plus site-scanning infrastructure.","https://www.linkrescue.io/ | https://linkwatchdog.io/ | https://www.linkbay.io/","Inference from current public messaging."
"2026-03-25","competitor","LinkWatchdog","Pricing and threat level","$9 Test, $29 Starter, $79 Growth, $199 Agency. Strongest direct overlap on affiliate ID preservation, webhook alerts, and monitoring.","Likely to keep pushing upmarket into teams and agencies.","Likely to remain your closest direct threat on monitoring workflows.","","","","","","","mixed","Differentiate on crawler coverage, developer tooling, and attribution diagnostics.","https://linkwatchdog.io/","Closest public competitor to your API-adjacent wedge."
"2026-03-25","competitor","AffilGuard","Pricing and threat level","Free tier plus $19 Pro. Simpler dashboard and email alert style product. No public API positioning verified.","Likely to stay SMB and blogger-focused.","Could add API later, but currently looks more like a monitoring dashboard than infra.","","","","","","","positive","Do not compete on cheapness alone.","https://affilguard.io/","Competes for entry-level users."
"2026-03-25","competitor","Afterlink","Pricing and threat level","$79 Automated and $149 Scale. Strong monitoring story but no public API wedge verified.","Likely to keep premium positioning.","Could become a stronger threat if they add API and workflow hooks.","","","","","","","mixed","Treat as premium monitoring competition, not yet infra competition.","https://afterlink.io/","Higher price point shows room above $79."
"2026-03-25","competitor","DeadLinkRadar","Pricing and threat level","Generic broken-link infra with API and webhook signals. Starter at $9. Business includes REST API plus unlimited webhooks.","Likely to remain broader generic link-health tooling.","Will pressure generic link-check pricing but not affiliate-specific positioning.","","","","","","","mixed","Stay affiliate-first and attribution-first.","https://deadlinkradar.com/pricing","Important because it normalizes API plus webhooks in adjacent space."
"2026-03-25","competitor","Linkbay","Pricing and threat level","Broader link platform with Merchant API, click verification, webhook notifications, and creator link tools. Pricing not fully visible from indexed page.","Likely to expand its API story faster than simple monitoring tools.","Could become meaningful competition if it adds deeper site-scanning and affiliate diagnostics.","","","","","","","mixed","Watch carefully, especially if you move toward merchant or network tooling.","https://www.linkbay.io/","Adjacent infra player."
"2026-03-25","infra","Vercel Pro","Base platform cost","$20 per month plus usage. Includes $20 usage credit, 4 hours active CPU, 360 GB-hours provisioned memory, and 1M function invocations.","Fine at low traffic and low scan volume.","Risky as a primary long-running scan worker platform if full-site scans grow.","20","20","120","","","","mixed","Keep Vercel for app and API front door, not long-running heavy scans.","https://vercel.com/pricing","High end assumes function overages and more active CPU."
"2026-03-25","infra","Supabase Pro","Base platform cost","$25 per month. Includes one micro project's effective compute credit, 250 GB egress quota, and usage-based overages beyond included quotas.","Fine at low to moderate volume.","Likely still fine by month 6 if retention and query volume are controlled.","25","25","150","","","","positive","Keep Supabase, but actively manage retention and hot-query patterns.","https://supabase.com/docs/guides/platform/manage-your-usage/compute | https://supabase.com/docs/guides/platform/manage-your-usage/egress | https://supabase.com/docs/guides/platform/manage-your-usage/disk-size","High end assumes database growth, egress, and disk auto-scaling."
"2026-03-25","infra","Resend","Email cost","Free or near-zero at very low volume; paid tiers start once send volume matters.","Still likely low at month 3 unless alerts become noisy.","Can stay modest if email remains digest-oriented instead of per-event spam.","0","10","40","","","","positive","Do not over-optimize here yet.","https://resend.com/pricing","Main risk is alert fatigue, not email spend."
"2026-03-25","infra","Stripe","Payment processing","2.9 percent plus 30 cents per successful domestic card transaction.","Scales linearly with revenue.","Still not a strategic concern unless pricing is very low and churn is high.","0","20","120","","","","positive","Treat as normal SaaS variable cost.","https://stripe.com/pricing","Low/base/high reflect increasing paid subscriber counts."
"2026-03-25","code_risk","Worker runtime","Scan completion ceiling","Internal scan worker is capped at 5 minutes on Vercel.","At moderate usage this becomes a reliability problem before it becomes a cloud-cost problem.","By month 6, serious API usage will force worker offloading or queue-based background execution.","","","","","","","negative","Move scanning to dedicated workers or jobs before pushing hard on heavy API-led acquisition.","C:\\DEV\\linkrescue\\apps\\web\\src\\app\\api\\internal\\scan-worker\\route.ts#L7","This is a code-derived constraint, not an external source."
"2026-03-25","code_risk","Serial scan model","Per-scan latency","Pages and outbound links are processed serially, with explicit pacing and retries.","Moderate scans will finish, but larger scans will stretch or fail under current worker limits.","Large sites and heavy agency use will not feel infrastructure-grade until concurrency and queueing improve.","","","","","","","negative","Add queueing, chunked scans, and resumable jobs.","C:\\DEV\\linkrescue\\packages\\crawler\\src\\index.ts#L116 | C:\\DEV\\linkrescue\\packages\\crawler\\src\\index.ts#L178","Good for safety, bad for throughput."
